doc_id,text,incident_type,affected_raw,affected_individuals,credit_monitoring,retraining,technical_safeguards,media_notice
claim_46,"The business associate (BA), Apex Global Solutions, reported that it was the target of a hacking attack that affected the protected health information (PHI) of 1,4741 individuals. The PHI involved included clinical, demographic, and financial information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE and BA provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect its PHI.",Other,741 individuals,741,1,0,1,1
claim_47,"The covered entity (CE), Select Medical Holdings Corporation, reported that its business associate (BA) experienced a ransomware incident that affected the protected health information (PHI) of 119,525 individuals. The PHI involved demographic and clinical information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE offered free credit monitoring to affected individuals and terminated its contract with BA.",Ransomware,"119,525 individuals",119525,1,0,0,1
claim_48,"The business associate (BA), AffirmedRx PBC, reported that an employee mailed the protected health information (PHI) of 1,089 individuals to the wrong recipients. The PHI involved included names and medications. The BA notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the BA implemented additional administrative, technical, and security safeguards, and retrained workforce members to better protect PHI. The Business Associate (BA), Ocuco, reported that it experienced a hacking incident that affected the protected health information (PHI) of 240,961 individuals. The PHI involved included names, dates of birth, addresses, drivers’ license numbers, Social Security numbers, claims and financial information, diagnoses/conditions, lab results, medications, and other treatment information. In response to the breach, the BA provided complimentary credit monitoring services to the affected individuals, and implemented additional administrative, technical, and security safeguards to better protect its PHI.",Wrong recipient,"1,089 individuals",1089,1,1,1,1
claim_49,"The covered entity (CE), CareOregon, Inc., reported that an employee was the target of an email phishing scheme that affected the protected health information (PHI) of 1,786 individuals. The PHI involved clinical, demographic and financial information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE provided security awareness training to its workforce and strengthened its threat detection and response solutions to better protect its PHI. OCR provided technical assistance to the CE regarding the HIPAA Rules.",Phishing,"1,786 individuals",1786,0,1,0,1
claim_50,"The covered entity (CE), MedStar St. Mary’s Hospital, reported that its business associate (BA) reported that it was the subject of a cybersecurity attack that affected the protected health information (PHI) of 172,915 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license and Social Security numbers, diagnoses/conditions, lab results, medications, and health insurance information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE and BA provided complimentary credit monitoring services to the affected individuals and implemented additional safeguards to better protect PHI.",Other,"172,915 individuals",172915,1,0,0,1
claim_51,"The covered entity (CE), UChicago Medicine Medical Group, reported that it was the subject of a cybersecurity incident that affected the protected health information of 38,656 individuals. The PHI involved included names, Social Security numbers, addresses, dates of birth, claims information, diagnoses/conditions, and treatment information. The CE notified HHS, the affected individuals and the media. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect its PHI.",Cybersecurity incident,"38,656 individuals",38656,1,0,1,1
claim_52,"The covered entity (CE), Shore Medical Center, reported that its business associate (BA) was the subject of a cybersecurity incident that affected the protected health information of 31,177 individuals. The PHI involved included names, Social Security numbers, addresses, dates of birth, diagnoses/conditions, and treatment information. The CE notified HHS, the affected individuals and the media. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect PHI.",Cybersecurity incident,"31,177 individuals",31177,1,0,1,1
claim_53,"The covered entity (CE), Swedish Edmonds Hospital, reported that it experienced a ransomware incident that affected the protected health information (PHI) of 886 individuals. The PHI involved included names, addresses, Social Security numbers, dates of birth, financial information, and other treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE offered free credit monitoring and implemented additional technical safeguards.",Ransomware,886 individuals,886,1,0,1,1
claim_54,"The covered entity (CE), Radiology Chartered, reported that its former business associate (BA) experienced a hacking incident that affected the protected health information (PHI) of 12,656 individuals. The PHI involved included names, dates of birth, addresses, and Social Security numbers. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect its PHI.",Hacking,"12,656 individuals",12656,1,0,1,1
claim_55,"The covered entity (CE), Balance Autism, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 1,281 individuals. The PHI involved included names, dates of birth, addresses, Social Security and drivers’ license numbers, diagnoses/conditions, and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect its PHI.",Ransomware,"1,281 individuals",1281,1,0,1,1
claim_56,"The covered entity (CE), Midlothian Pharmacy Compounding & Prescription, reported that an employee inadvertently sent an email that contained the protected health information (PHI) of 1,000 individuals to the wrong recipients. The PHI involved was limited to patient names. The CE notified HHS, affecged individuals, and the media. In response to the breach the CE implemented additional administrative and technical safeguards. OCR provided technical assistance regarding the HIPAA Breach Notification Rules. Staff were retrained.",Wrong recipient,"1,000 individuals",1000,0,1,1,1
claim_57,"The covered entity (CE), InSider Vision, LLC, reported that an employee emailed the protected health information (PHI) of 1,426 individuals to the wrong recipient. The PHI involved included names, phone numbers, and addresses. The CE notified HHS and impacted individuals. In response to the breach, the CE implemented additional administrative, technical, and security safeguards, and retrained workforce members to better protect PHI.",Wrong recipient,"1,426 individuals",1426,0,1,1,0
claim_58,"The covered entity (CE), Marlboro-Chesterfield Pathology, P.C., reported that it experienced a hacking incident that affected the protected health information (PHI) of 235,911 individuals. The PHI involved included names, dates of birth, drivers’ license and Social Security numbers, claims and financial information, diagnoses, and lab results. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative, technical, and security safeguards.",Hacking,"235,911 individuals",235911,0,0,1,1
claim_59,"The business associate (BA), Serviceaide, reported that a database containing the protected health information (PHI) of 483,126 individuals was made publicly available via the Internet. The PHI involved included names, Social Security numbers, addresses, diagnoses/conditions, lab results, medications, and other treatment information. The BA notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the BA provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards. Staff were retrained.",Other,"483,126 individuals",483126,1,1,1,1
claim_60,"The covered entity (CE), The Caring Healthcare Network, LLC, reported that an employee was seen on video printing a document that contained the protected health information (PHI) of approximately 1,019 individuals. The PHI involved names, addresses and dates of birth. The CE notified HHS of the breach. In its mitigation efforts, the CE provided security awareness training to its workforce, sanctioned the employee involved in the incident, and increased its HIPAA compliance monitoring to better protect its PHI. OCR provided technical assistance to the CE regarding the HIPAA Rules.",Other,"1,019 individuals",1019,0,1,0,0
claim_61,"The covered entity (CE), Primary Health Care, Inc., reported that that a workforce member inadvertently sent an email that contained the protected health information (PHI) of 787 individuals to the wrong recipients. The PHI involved included names and treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative and technical safeguards and retrained workforce members to better protect PHI.",Wrong recipient,787 individuals,787,0,1,1,1
claim_62,"The covered entity (CE), Schewitz Psychological Services dba Couples Learn, reported that its business associate (BA) experienced a cyberattack affecting the protected health information (PHI) of 3,700 individuals. The PHI involved included names, email addresses, phone numbers, and treatment information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE and BA implemented additional technical safeguards.",Cyberattack,"3,700 individuals",3700,0,0,1,1
claim_63,"The covered entity (CE), Arizona Arthritis and Rheumatology Associates, P.C., reported that several employees were the subjects of an email phishing attack that affected the protected health information (PHI) of 5,509 individuals. The PHI involved included names, addresses, dates of birth, claims information, diagnoses/conditions, lab results, medications, and other treatment information.",Phishing,"5,509 individuals",5509,0,0,0,0
claim_64,"Financial, the covered entity (CE), reported that its business associate (BA) experienced a cyberattack that impacted the protected health information (PHI) for 1,123 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, and claims and financial information. The CE notified HHS and the affected individuals. In its mitigation efforts, the CE strengthened passwords and offered credit monitoring.",Cyberattack,"1,123 individuals",1123,1,0,0,0
